type;n;algo;threshold;time_ms
random;40900;quick;0;2
random;41000;quick;0;2
random;41100;quick;0;2
random;41200;quick;0;2
random;41300;quick;0;2
random;41400;quick;0;2
random;41500;quick;0;2
random;41600;quick;0;2
random;41700;quick;0;2
random;41800;quick;0;2
random;41900;quick;0;2
random;42000;quick;0;2
random;42100;quick;0;2
random;42200;quick;0;2
random;42300;quick;0;2
random;42400;quick;0;2
random;42500;quick;0;2
random;42600;quick;0;2
random;42700;quick;0;2
random;42800;quick;0;2
random;42900;quick;0;2
random;43000;quick;0;2
random;43100;quick;0;2
random;43200;quick;0;2
random;43300;quick;0;2
random;43400;quick;0;2
random;43500;quick;0;2
random;43600;quick;0;2
random;43700;quick;0;2
random;43800;quick;0;2
random;43900;quick;0;2
random;44000;quick;0;2
random;44100;quick;0;2
random;44200;quick;0;2
random;44300;quick;0;2
random;44400;quick;0;2
random;44500;quick;0;2
random;44600;quick;0;2
random;44700;quick;0;2
random;44800;quick;0;2
random;44900;quick;0;2
random;45000;quick;0;2
random;45100;quick;0;2
random;45200;quick;0;2
random;45300;quick;0;2
random;45400;quick;0;2
random;45500;quick;0;2
random;45600;quick;0;2
random;45700;quick;0;2
random;45800;quick;0;2
random;45900;quick;0;2
random;46000;quick;0;2
random;46100;quick;0;2
random;46200;quick;0;2
random;46300;quick;0;2
random;46400;quick;0;2
random;46500;quick;0;2
random;46600;quick;0;2
random;46700;quick;0;2
random;46800;quick;0;2
random;46900;quick;0;2
random;47000;quick;0;2
random;47100;quick;0;2
random;47200;quick;0;2
random;47300;quick;0;2
random;47400;quick;0;2
random;47500;quick;0;2
random;47600;quick;0;2
random;47700;quick;0;2
random;47800;quick;0;2
random;47900;quick;0;2
random;48000;quick;0;2
random;48100;quick;0;2
random;48200;quick;0;2
random;48300;quick;0;2
random;48400;quick;0;2
random;48500;quick;0;2
random;48600;quick;0;2
random;48700;quick;0;2
random;48800;quick;0;2
random;48900;quick;0;2
random;49000;quick;0;2
random;49100;quick;0;2
random;49200;quick;0;2
random;49300;quick;0;2
random;49400;quick;0;2
random;49500;quick;0;2
random;49600;quick;0;2
random;49700;quick;0;2
random;49800;quick;0;2
random;49900;quick;0;2
random;50000;quick;0;2
random;50100;quick;0;2
random;50200;quick;0;2
random;50300;quick;0;2
random;50400;quick;0;2
random;50500;quick;0;2
random;50600;quick;0;2
random;50700;quick;0;2
random;50800;quick;0;2
random;50900;quick;0;2
random;51000;quick;0;2
random;51100;quick;0;2
random;51200;quick;0;2
random;51300;quick;0;2
random;51400;quick;0;2
random;51500;quick;0;2
random;51600;quick;0;2
random;51700;quick;0;2
random;51800;quick;0;2
random;51900;quick;0;2
random;52000;quick;0;2
random;52100;quick;0;2
random;52200;quick;0;2
random;52300;quick;0;2
random;52400;quick;0;2
random;52500;quick;0;2
random;52600;quick;0;2
random;52700;quick;0;2
random;52800;quick;0;2
random;52900;quick;0;2
random;53000;quick;0;2
random;53100;quick;0;2
random;53200;quick;0;2
random;53300;quick;0;2
random;53400;quick;0;2
random;53500;quick;0;2
random;53600;quick;0;2
